condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,lam
C6,centrality,impact_weighted,27,False,140,15,20,True,1,46,0.021739130434782608,,,10.0
C6,centrality,impact_weighted,28,False,254,31,35,True,1,52,0.019230769230769232,,,10.0
C6,centrality,impact_weighted,29,False,392,34,29,True,1,51,0.0196078431372549,,,10.0
C6,centrality,impact_weighted,0,False,177,18,58,True,0,56,0.0,,,20.0
C6,centrality,impact_weighted,1,False,363,28,48,True,0,45,0.0,,,20.0
C6,centrality,impact_weighted,2,False,194,14,21,True,1,50,0.02,,,20.0
C6,centrality,impact_weighted,3,False,313,35,51,True,0,48,0.0,,,20.0
C6,centrality,impact_weighted,4,False,284,38,37,True,0,53,0.0,,,20.0
C6,centrality,impact_weighted,5,False,212,29,20,True,0,51,0.0,,,20.0
C6,centrality,impact_weighted,6,False,367,44,26,True,0,46,0.0,,,20.0
C6,centrality,impact_weighted,7,False,298,44,60,False,1,61,0.01639344262295082,,,20.0
C6,centrality,impact_weighted,8,False,393,30,57,True,0,52,0.0,,,20.0
C6,centrality,impact_weighted,9,False,412,49,22,True,0,38,0.0,,,20.0
C6,centrality,impact_weighted,10,False,399,71,58,True,0,49,0.0,,,20.0
C6,centrality,impact_weighted,11,False,187,19,21,True,1,58,0.017241379310344827,,,20.0
C6,centrality,impact_weighted,12,False,285,43,22,True,0,51,0.0,,,20.0
C6,centrality,impact_weighted,13,False,335,35,25,True,0,43,0.0,,,20.0
C6,centrality,impact_weighted,14,False,438,52,22,True,1,47,0.02127659574468085,,,20.0
C6,centrality,impact_weighted,15,False,225,40,57,True,1,59,0.01694915254237288,,,20.0
C6,centrality,impact_weighted,16,False,314,39,30,True,0,47,0.0,,,20.0
C6,centrality,impact_weighted,17,False,133,14,21,True,0,57,0.0,,,20.0
C6,centrality,impact_weighted,18,False,191,18,52,True,0,54,0.0,,,20.0
C6,centrality,impact_weighted,19,False,168,19,37,True,0,41,0.0,,,20.0
C6,centrality,impact_weighted,20,False,186,19,20,True,0,46,0.0,,,20.0
C6,centrality,impact_weighted,21,False,266,29,44,True,0,48,0.0,,,20.0
C6,centrality,impact_weighted,22,False,316,39,20,True,0,36,0.0,,,20.0
C6,centrality,impact_weighted,23,False,278,36,20,True,0,48,0.0,,,20.0
C6,centrality,impact_weighted,24,False,318,42,41,True,3,47,0.06382978723404255,,,20.0
C6,centrality,impact_weighted,25,False,186,30,20,True,0,46,0.0,,,20.0
C6,centrality,impact_weighted,26,False,249,44,21,True,0,58,0.0,,,20.0
C6,centrality,impact_weighted,27,False,246,37,20,True,0,40,0.0,,,20.0
C6,centrality,impact_weighted,28,False,396,47,22,True,1,49,0.02040816326530612,,,20.0
C6,centrality,impact_weighted,29,False,446,53,23,True,0,50,0.0,,,20.0
C6,centrality,impact_weighted,0,False,266,29,58,True,0,54,0.0,,,50.0
C6,centrality,impact_weighted,1,False,204,22,21,True,0,44,0.0,,,50.0
C6,centrality,impact_weighted,2,False,354,40,30,True,1,49,0.02040816326530612,,,50.0
C6,centrality,impact_weighted,3,False,374,50,51,True,0,46,0.0,,,50.0
C6,centrality,impact_weighted,4,False,222,37,22,True,0,53,0.0,,,50.0
C6,centrality,impact_weighted,5,False,338,33,22,True,0,48,0.0,,,50.0
C6,centrality,impact_weighted,6,False,382,43,24,True,0,43,0.0,,,50.0
C6,centrality,impact_weighted,7,False,235,21,21,True,0,57,0.0,,,50.0
C6,centrality,impact_weighted,8,False,556,51,29,True,0,47,0.0,,,50.0
C6,centrality,impact_weighted,9,False,390,47,22,True,0,36,0.0,,,50.0
C6,centrality,impact_weighted,10,False,271,27,58,True,0,52,0.0,,,50.0
C6,centrality,impact_weighted,11,False,284,25,25,True,0,56,0.0,,,50.0
C6,centrality,impact_weighted,12,False,368,40,23,True,0,50,0.0,,,50.0
C6,centrality,impact_weighted,13,False,377,45,22,True,0,39,0.0,,,50.0
C6,centrality,impact_weighted,14,False,489,52,30,True,0,47,0.0,,,50.0
C6,centrality,impact_weighted,15,False,205,40,57,True,0,55,0.0,,,50.0
C6,centrality,impact_weighted,16,False,421,51,20,True,0,46,0.0,,,50.0
C6,centrality,impact_weighted,17,False,139,14,31,True,0,56,0.0,,,50.0
C6,centrality,impact_weighted,18,False,194,18,28,True,0,52,0.0,,,50.0
